product_id,product_name,category,brand,store_id,store_name,store_location,base_price,discount_rate,promotion_type,day_of_year,month,day_of_week,season,is_holiday,avg_units_sold_30d,avg_customers_30d,profit_margin,profit_class
P100901,L'Oreal Sports Item,Sports,L'Oreal,S010,Amazon Store 10,US-East,211.96,0.0,No Promotion,168,6,Tue,Spring,0,14,33,0.332,high
P100424,Samsung Electronics Item,Electronics,Samsung,S035,Amazon Store 35,US-West,231.01,0.35,Flash Sale,339,12,Wed,Fall,0,25,35,-0.136,loss
P100014,Adidas Home Item,Home,Adidas,S029,Amazon Store 29,US-East,147.61,0.0,No Promotion,193,7,Sat,Summer,0,8,11,0.238,medium
P100848,HP Grocery Item,Grocery,HP,S049,Amazon Store 49,US-East,23.4,0.58,Clearance,283,10,Mon,Fall,0,23,39,-0.5,loss
P100122,AmazonBasics Grocery Item,Grocery,AmazonBasics,S002,Amazon Store 2,US-East,29.66,0.11,Holiday,336,12,Mon,Fall,0,32,45,0.247,medium
P100091,Samsung Sports Item,Sports,Samsung,S037,Amazon Store 37,EU,83.74,0.15,Seasonal,13,1,Sun,Winter,0,43,62,0.282,medium
P100569,Apple Sports Item,Sports,Apple,S023,Amazon Store 23,Canada,41.82,0.21,Flash Sale,240,8,Wed,Summer,0,9,15,0.33,high
P100658,Dell Electronics Item,Electronics,Dell,S004,Amazon Store 4,EU,926.3,0.0,No Promotion,320,11,Tue,Fall,0,19,37,0.493,high
P100109,LG Fashion Item,Fashion,LG,S012,Amazon Store 12,Canada,88.65,0.12,Holiday,147,5,Thu,Spring,0,5,8,0.237,medium
P100459,LG Grocery Item,Grocery,LG,S042,Amazon Store 42,US-East,18.01,0.2,Seasonal,204,7,Sat,Summer,0,25,38,0.144,low
P101097,Dell Sports Item,Sports,Dell,S021,Amazon Store 21,UK,37.23,0.05,Seasonal,80,3,Tue,Spring,0,34,44,0.314,high
P100496,Samsung Home Item,Home,Samsung,S033,Amazon Store 33,UK,156.94,0.0,No Promotion,43,2,Fri,Winter,0,31,66,0.429,high
P100078,Apple Beauty Item,Beauty,Apple,S022,Amazon Store 22,UK,59.54,0.0,No Promotion,89,3,Thu,Spring,0,16,32,0.295,medium
P100422,Sony Home Item,Home,Sony,S043,Amazon Store 43,US-West,34.94,0.0,No Promotion,148,5,Sat,Spring,0,13,26,0.345,high
P101181,Nike Beauty Item,Beauty,Nike,S013,Amazon Store 13,US-East,199.91,0.15,Seasonal,95,4,Fri,Spring,0,26,44,0.165,medium
P100872,HP Beauty Item,Beauty,HP,S015,Amazon Store 15,US-West,34.69,0.0,No Promotion,151,6,Wed,Spring,0,27,63,0.455,high
P100288,LG Fashion Item,Fashion,LG,S038,Amazon Store 38,EU,102.98,0.0,No Promotion,2,1,Fri,Winter,0,14,19,0.266,medium
P100468,Adidas Grocery Item,Grocery,Adidas,S041,Amazon Store 41,US-West,39.31,0.0,No Promotion,22,1,Wed,Winter,0,40,88,0.244,medium
P100737,HP Home Item,Home,HP,S015,Amazon Store 15,US-West,36.54,0.18,Seasonal,313,11,Fri,Fall,0,13,17,0.068,low
P100577,Adidas Electronics Item,Electronics,Adidas,S005,Amazon Store 5,UK,446.61,0.09,Seasonal,328,11,Thu,Fall,0,11,15,0.335,high
P101170,Apple Sports Item,Sports,Apple,S008,Amazon Store 8,US-West,299.4,0.0,No Promotion,7,1,Fri,Winter,1,33,78,0.451,high
P101065,Nike Sports Item,Sports,Nike,S027,Amazon Store 27,UK,141.25,0.0,No Promotion,206,7,Tue,Summer,0,13,22,0.423,high
P100701,Samsung Home Item,Home,Samsung,S001,Amazon Store 1,US-East,416.87,0.29,Holiday,114,4,Wed,Spring,1,17,35,0.11,low
P100026,L'Oreal Beauty Item,Beauty,L'Oreal,S042,Amazon Store 42,US-East,84.55,0.0,No Promotion,272,10,Mon,Fall,0,14,28,0.294,medium
P100551,Samsung Home Item,Home,Samsung,S049,Amazon Store 49,US-East,43.76,0.0,No Promotion,83,3,Fri,Spring,1,16,27,0.368,high
P100448,Samsung Home Item,Home,Samsung,S018,Amazon Store 18,Canada,20.09,0.26,Holiday,179,6,Wed,Summer,0,17,42,0.087,low
P100666,Apple Grocery Item,Grocery,Apple,S039,Amazon Store 39,UK,8.36,0.0,No Promotion,210,7,Mon,Summer,0,2,4,0.408,high
P100582,Nike Grocery Item,Grocery,Nike,S026,Amazon Store 26,US-East,29.41,0.0,No Promotion,328,11,Wed,Fall,0,43,83,0.279,medium
P100048,AmazonBasics Electronics Item,Electronics,AmazonBasics,S014,Amazon Store 14,US-East,709.45,0.0,No Promotion,124,5,Sun,Spring,0,24,44,0.272,medium
P100320,Apple Fashion Item,Fashion,Apple,S011,Amazon Store 11,US-West,241.29,0.0,No Promotion,113,4,Wed,Spring,0,19,24,0.43,high
P100952,LG Sports Item,Sports,LG,S040,Amazon Store 40,EU,310.87,0.39,Clearance,12,1,Mon,Winter,0,16,24,0.081,low
P101151,Sony Beauty Item,Beauty,Sony,S020,Amazon Store 20,Canada,98.03,0.0,No Promotion,126,5,Mon,Spring,0,16,26,0.374,high
P100192,Sony Grocery Item,Grocery,Sony,S049,Amazon Store 49,US-East,2.87,0.38,Flash Sale,53,2,Thu,Winter,0,31,61,-0.191,loss
P101034,Dell Beauty Item,Beauty,Dell,S000,Amazon Store 0,Canada,101.45,0.0,No Promotion,331,12,Sat,Fall,0,17,24,0.321,high
P100965,Sony Home Item,Home,Sony,S016,Amazon Store 16,EU,184.07,0.32,Flash Sale,283,10,Sun,Fall,0,30,56,0.179,medium
P100662,LG Electronics Item,Electronics,LG,S044,Amazon Store 44,Canada,1275.25,0.26,Holiday,140,5,Fri,Spring,0,14,32,0.271,medium
P100826,LG Fashion Item,Fashion,LG,S012,Amazon Store 12,Canada,90.86,0.18,Seasonal,97,4,Fri,Spring,0,28,35,0.037,low
