iter	MultiClass
0	1.036117268
1	0.9853452362
2	0.9419144858
3	0.902710036
4	0.8705893971
5	0.8423821901
6	0.8160843855
7	0.7930760232
8	0.7725988533
9	0.7541195414
10	0.7390035489
11	0.7242625026
12	0.7110918672
13	0.699133935
14	0.6878938434
15	0.678694223
16	0.6698210519
17	0.6615656272
18	0.6542826269
19	0.6472155608
20	0.6415194909
21	0.6363742698
22	0.6320781808
23	0.6275334085
24	0.6223933353
25	0.6179675757
26	0.6145360227
27	0.6111739624
28	0.608212737
29	0.6055399774
30	0.6030414442
31	0.6014473047
32	0.5992301762
33	0.5969553617
34	0.5952337928
35	0.5934380036
36	0.5912206627
37	0.589101527
38	0.5875975487
39	0.5861499855
40	0.585482328
41	0.5841639981
42	0.5827072427
43	0.5821893429
44	0.5808380142
45	0.5798299414
46	0.5786209063
47	0.577399447
48	0.5764229224
49	0.5756954228
50	0.5745253472
51	0.573458328
52	0.5726664327
53	0.5716816352
54	0.5709359783
55	0.570283307
56	0.5699594673
57	0.5686503919
58	0.567867389
59	0.5669615311
60	0.5663134163
61	0.5649709884
62	0.5643808034
63	0.5636304565
64	0.5629016227
65	0.5621699513
66	0.5617671039
67	0.5615770511
68	0.5601740604
69	0.5594544495
70	0.5592450557
71	0.5590061142
72	0.5589084873
73	0.5579693495
74	0.5579638662
75	0.5574366391
76	0.556657532
77	0.5560607347
78	0.5558018932
79	0.5553932889
80	0.5551484998
81	0.5545335456
82	0.5537529321
83	0.553277972
84	0.5527573492
85	0.5527551795
86	0.5520439793
87	0.5515633612
88	0.5513643534
89	0.5509303667
90	0.5502279934
91	0.5498583683
92	0.5496399936
93	0.5495059387
94	0.5490193904
95	0.5478587239
96	0.5476686258
97	0.547381849
98	0.5471075076
99	0.5468458822
100	0.5467333889
101	0.5466046464
102	0.5459858943
103	0.5455305542
104	0.5450554137
105	0.5445169732
106	0.543789299
107	0.5435267857
108	0.5424364468
109	0.5419360382
110	0.5412531514
111	0.5407646471
112	0.5399924177
113	0.5393353574
114	0.5387032632
115	0.5381043439
116	0.5372569331
117	0.53674464
118	0.5365025466
119	0.536179923
120	0.5359676295
121	0.5352517908
122	0.5350669725
123	0.534599198
124	0.5340625816
125	0.5333410197
126	0.5327060291
127	0.5325211079
128	0.5319734681
129	0.5311942264
130	0.5305849093
131	0.5298182804
132	0.529291384
133	0.5283974159
134	0.5279881355
135	0.5274313229
136	0.5271069179
137	0.52691372
138	0.5265318416
139	0.5259344003
140	0.5252601352
141	0.5250360504
142	0.5244197239
143	0.5239566284
144	0.5236606662
145	0.5233559345
146	0.5229171058
147	0.5220674039
148	0.5217306254
149	0.5214307313
150	0.5207451877
151	0.5201712914
152	0.5197696449
153	0.5192628551
154	0.5189374327
155	0.5186558404
156	0.5185062467
157	0.5179996834
158	0.5172135482
159	0.5166359791
160	0.5162594391
161	0.5160386478
162	0.5154064221
163	0.5148534325
164	0.5146592259
165	0.5143308274
166	0.5139592544
167	0.5137253074
168	0.5130531525
169	0.5127629435
170	0.5119982121
171	0.5117221738
172	0.5114984918
173	0.5109381047
174	0.5106781736
175	0.5104148374
176	0.5097207346
177	0.5093591444
178	0.5085871578
179	0.5081201592
180	0.5076156137
181	0.5070164367
182	0.5068094742
183	0.506272847
184	0.5058624082
185	0.5054381694
186	0.5050230581
187	0.5045287858
188	0.5039586843
189	0.5035400586
190	0.5031756694
191	0.5030120432
192	0.5025214287
193	0.5020533497
194	0.5015901352
195	0.5009165695
196	0.5006440694
197	0.5003853757
198	0.5001046941
199	0.4997589416
200	0.4995274609
201	0.4991964774
202	0.4990010368
203	0.4983025397
204	0.4974896484
205	0.496981407
206	0.4966468447
207	0.4964066464
208	0.4961485165
209	0.4956636638
210	0.4951242853
211	0.4946186237
212	0.4943571435
213	0.4937169038
214	0.4932762923
215	0.4930050828
216	0.4926937648
217	0.4921989023
218	0.4919461183
219	0.4915624274
220	0.4909666259
221	0.4904021105
222	0.4902362106
223	0.48976352
224	0.4893419826
225	0.4889124689
226	0.4885683222
227	0.4878559073
228	0.4873857944
229	0.4870154304
230	0.4863228304
231	0.4860695263
232	0.4854824942
233	0.4847091656
234	0.4841430973
235	0.4839669095
236	0.4836777624
237	0.4834838234
238	0.4831991692
239	0.4829232187
240	0.4825922882
