iter	Passed	Remaining
0	174	100486
1	229	65974
2	400	76402
3	677	96917
4	866	98906
5	934	88765
6	1076	87470
7	1368	97147
8	1527	96223
9	1652	93545
10	1733	89013
11	1873	88037
12	2032	88034
13	2152	86387
14	2209	82626
15	2282	79898
16	2464	81033
17	2654	82302
18	2809	82355
19	2945	81872
20	3077	81334
21	3142	79137
22	3274	78738
23	3392	78025
24	3514	77454
25	3672	77683
26	3851	78318
27	3942	77154
28	4129	77887
29	4259	77523
30	4392	77230
31	4412	75019
32	4446	73171
33	4568	72821
34	4723	73010
35	4860	72903
36	5013	73037
37	5144	72829
38	5260	72430
39	5503	73748
40	5572	72710
41	5737	72952
42	5850	72525
43	5875	71036
44	6068	71613
45	6207	71525
46	6315	71079
47	6422	70649
48	6533	70271
49	6642	69878
50	6769	69684
51	6886	69393
52	6995	69032
53	7100	68642
54	7197	68178
55	7293	67729
56	7333	66775
57	7436	66412
58	7537	66047
59	7637	65681
60	7729	65257
61	7824	64865
62	7928	64563
63	8023	64185
64	8132	63934
65	8228	63585
66	8320	63208
67	8431	62990
68	8540	62752
69	8639	62448
70	8729	62092
71	8827	61789
72	8933	61552
73	9028	61249
74	9046	60430
75	9139	60129
76	9244	59911
77	9342	59647
78	9442	59401
79	9534	59111
80	9663	59057
81	9769	58856
82	9864	58594
83	9977	58439
84	10090	58287
85	10109	57598
86	10214	57412
87	10330	57285
88	10369	56739
89	10463	56504
90	10558	56274
91	10662	56094
92	10768	55927
93	10888	55831
94	10995	55670
95	11093	55466
96	11188	55251
97	11283	55037
98	11382	54843
99	11487	54678
100	11574	54434
101	11672	54241
102	11777	54083
103	11874	53890
104	11981	53744
105	12086	53590
106	12187	53418
107	12276	53196
108	12370	53001
109	12461	52790
110	12558	52611
111	12645	52390
112	12743	52214
113	12838	52029
114	12936	51859
115	13036	51697
116	13142	51557
117	13252	51437
118	13356	51292
119	13455	51132
120	13548	50947
121	13647	50787
122	13743	50617
123	13842	50456
124	13954	50346
125	14057	50204
126	14145	50012
127	14244	49857
128	14347	49716
129	14439	49539
130	14538	49384
131	14634	49225
132	14726	49051
133	14840	48951
134	14962	48877
135	15061	48729
136	15168	48604
137	15265	48452
138	15374	48334
139	15465	48164
140	15557	47997
141	15663	47873
142	15758	47716
143	15860	47580
144	15963	47450
145	16070	47331
146	16164	47174
147	16258	47018
148	16369	46912
149	16473	46785
150	16587	46686
151	16699	46582
152	16799	46446
153	16900	46310
154	16996	46165
155	17118	46088
156	17216	45946
157	17313	45803
158	17428	45709
159	17524	45564
160	17639	45467
161	17736	45326
162	17833	45185
163	17935	45058
164	18033	44920
165	18154	44839
166	18254	44707
167	18357	44583
168	18455	44445
169	18554	44311
170	18651	44174
171	18749	44039
172	18842	43894
173	18938	43754
174	19035	43617
175	19151	43526
176	19248	43390
177	19348	43263
178	19450	43139
179	19548	43006
180	19653	42890
181	19747	42749
182	19844	42616
183	19937	42474
184	20037	42348
185	20135	42219
186	20234	42092
187	20330	41959
188	20426	41825
189	20526	41700
190	20612	41548
191	20717	41434
192	20813	41303
193	20914	41182
194	21011	41053
195	21121	40950
196	21235	40853
197	21340	40740
198	21441	40620
199	21548	40510
200	21648	40388
201	21737	40247
202	21830	40111
203	21938	40005
204	22044	39896
205	22149	39783
206	22262	39684
207	22365	39570
208	22482	39479
209	22595	39379
210	22686	39244
211	22810	39165
212	22919	39059
213	23058	39006
214	23186	38931
215	23285	38808
216	23393	38701
217	23509	38607
218	23620	38504
219	23723	38388
220	23836	38289
221	23941	38176
222	24057	38082
223	24177	37993
224	24289	37891
225	24407	37799
226	24518	37695
227	24627	37589
228	24733	37478
229	24841	37370
230	24947	37258
231	25065	37166
232	25185	37075
233	25304	36983
234	25422	36890
235	25562	36827
236	25685	36740
237	25802	36644
238	25915	36541
239	26015	36422
240	26157	36360
